date,open,high,low,close,volume,number_of_trades
4/3/2022,3.046,3.183,3.01,3.058,1399110.98,12874
4/4/2022,3.061,3.061,2.73,2.906,2314853.08,18557
4/5/2022,2.904,2.979,2.777,2.806,1587329.63,16911
4/6/2022,2.806,2.806,2.496,2.497,2154204.89,21219
4/7/2022,2.496,2.655,2.466,2.586,1497609.71,16548
4/8/2022,2.585,2.611,2.422,2.439,2250110.9,17789
4/9/2022,2.437,2.512,2.402,2.504,763870.76,7537
4/10/2022,2.509,2.579,2.448,2.462,661281.93,6421
4/11/2022,2.458,2.47,2,2.069,2533173.9,21573
4/12/2022,2.072,2.158,2,2.057,3914265,29142
4/13/2022,2.053,2.12,2.001,2.11,1856081.54,15316
4/14/2022,2.108,2.13,1.95,2.015,2341413.35,17432
4/15/2022,2.012,2.064,2.003,2.034,923774.81,8125
4/16/2022,2.034,2.048,2.001,2.008,774622.13,6177
4/17/2022,2.006,2.048,1.975,2.008,1297795.79,9014
4/18/2022,2.006,2.042,1.879,2.007,2738295.84,20082
4/19/2022,2.01,2.182,2.006,2.147,3403619.34,25446
4/20/2022,2.144,2.207,2.024,2.053,2405742.23,18030
4/21/2022,2.051,2.127,1.91,1.912,1692347.14,14237
4/22/2022,1.912,1.97,1.848,1.936,1678870.41,14505
4/23/2022,1.936,1.936,1.85,1.861,1143877.11,8315
4/24/2022,1.86,1.89,1.763,1.773,1081427.33,8598
4/25/2022,1.774,1.8,1.566,1.731,3084642.12,21820
4/26/2022,1.731,1.75,1.484,1.498,2848379.91,20305
4/27/2022,1.501,1.555,1.44,1.486,1937457.17,12882
4/28/2022,1.485,1.622,1.478,1.563,3048476.38,21088
4/29/2022,1.562,1.601,1.369,1.391,2086537.28,14337
4/30/2022,1.394,1.421,1.2,1.213,1701621.28,11855
5/1/2022,1.213,1.8,1.212,1.597,21345327.28,131712
5/2/2022,1.598,1.917,1.519,1.697,14643176.67,78426
5/3/2022,1.699,1.769,1.475,1.497,4892643.9,22706
5/4/2022,1.497,1.811,1.489,1.742,5211194.64,29272
5/5/2022,1.741,1.893,1.479,1.612,6728880.93,28106
5/6/2022,1.611,1.618,1.463,1.509,5911332.82,19303
5/7/2022,1.508,1.514,1.298,1.342,4189309.99,14249
5/8/2022,1.342,1.364,1.28,1.297,2895871.93,12192
5/9/2022,1.297,1.32,1.064,1.118,5163165.34,19301
5/10/2022,1.117,1.262,1.061,1.169,7025511.7,24360
5/11/2022,1.165,1.193,0.717,0.818,10109981.1,30798
5/12/2022,0.816,0.882,0.603,0.785,9534318.77,27167
5/13/2022,0.787,1.09,0.783,0.858,5495377.19,18069
5/14/2022,0.86,0.905,0.744,0.862,3910571.98,12057
5/15/2022,0.862,0.949,0.8,0.948,4427749.9,10329
5/16/2022,0.948,1.096,0.832,0.963,7896454,24725
5/17/2022,0.962,1.112,0.907,0.981,5696025.64,16630
5/18/2022,0.981,0.997,0.82,0.828,3367653.35,10250
5/19/2022,0.829,0.937,0.82,0.924,2613003.83,7524
5/20/2022,0.926,0.947,0.853,0.873,2913694.22,6607
5/21/2022,0.872,0.931,0.854,0.896,1220623.03,3789
5/22/2022,0.896,0.94,0.867,0.901,1709295.15,5732
5/23/2022,0.9,0.959,0.847,0.857,2789044.92,8438
5/24/2022,0.857,0.917,0.825,0.916,2334012.79,7507
5/25/2022,0.917,0.929,0.863,0.867,1712465.3,6945
5/26/2022,0.867,0.882,0.741,0.742,2784688.41,9486
5/27/2022,0.743,0.768,0.676,0.695,3440412.82,10777
5/28/2022,0.696,0.73,0.686,0.711,1161339.83,4644
5/29/2022,0.71,0.724,0.68,0.714,1424149.33,5529
5/30/2022,0.714,0.87,0.707,0.839,4348426.6,12371
5/31/2022,0.84,0.92,0.787,0.85,10056931.83,23655
6/1/2022,0.851,0.856,0.721,0.741,4855204.6,12372
6/2/2022,0.742,0.775,0.724,0.77,1181183.4,4409
6/3/2022,0.771,0.772,0.705,0.715,1337211.78,5091
6/4/2022,0.715,0.732,0.692,0.723,883504.79,3137
6/5/2022,0.724,0.727,0.678,0.718,960819.83,3189
6/6/2022,0.718,0.795,0.68,0.71,3775948.68,11375
6/7/2022,0.711,0.749,0.654,0.703,3125334.17,8497
6/8/2022,0.704,0.721,0.682,0.685,1236189.45,4748
6/9/2022,0.685,0.717,0.667,0.694,1224220.79,4235
6/10/2022,0.694,0.71,0.609,0.62,2998480.62,9179
6/11/2022,0.62,0.634,0.547,0.562,2456167.37,7647
6/12/2022,0.562,0.593,0.493,0.51,3484528.9,9070
6/13/2022,0.51,0.551,0.359,0.403,17552964.59,31249
6/14/2022,0.403,0.459,0.361,0.385,9659861.14,16054
6/15/2022,0.383,0.424,0.325,0.411,11815944.77,19222
6/16/2022,0.412,0.419,0.33,0.34,6651142.2,12287
6/17/2022,0.341,0.37,0.337,0.345,4141296.39,6719
6/18/2022,0.344,0.364,0.274,0.323,7099284.47,10590
6/19/2022,0.324,0.587,0.295,0.43,41284498.53,75642
6/20/2022,0.43,0.543,0.422,0.435,61045782.26,99745
6/21/2022,0.435,0.505,0.416,0.437,16192742.62,27399
6/22/2022,0.438,0.555,0.413,0.492,25110527.22,43617
6/23/2022,0.493,0.62,0.492,0.555,27518718.64,46656
6/24/2022,0.555,0.621,0.532,0.558,12332061.2,24551
6/25/2022,0.558,0.575,0.506,0.543,5481899.11,12127
6/26/2022,0.543,0.555,0.477,0.48,4622185.82,10481
6/27/2022,0.48,0.548,0.47,0.482,5932322.26,13089
