date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2/14/2023,1.498,1.779,1.445,1.719,29370153.49,1.67642E+12,47657104.59,141808,14892740.76,24217656.72,0
2/15/2023,1.72,2.086,1.689,2.002,28275081.29,1.67651E+12,52737613.91,145886,14356338.55,26768170.24,0
2/16/2023,2.003,2.14,1.687,1.768,35184805.12,1.67659E+12,68477775.96,208210,16982425.18,33143435.42,0
2/17/2023,1.768,1.994,1.732,1.858,27328949.93,1.67668E+12,51372322.13,150005,13332771.84,25094258.82,0
2/18/2023,1.857,1.939,1.781,1.855,12404067.23,1.67676E+12,23049780.48,69647,5890035.51,10952065.12,0
2/19/2023,1.854,1.867,1.686,1.718,12539826.97,1.67685E+12,22408864.23,65318,5570628.71,9964696.893,0
2/20/2023,1.717,1.75,1.596,1.716,19737937.97,1.67694E+12,33193496.28,88551,9622149.67,16173658.79,0
2/21/2023,1.716,1.886,1.644,1.708,14156342.02,1.67702E+12,24907108.35,94325,6788656.82,11953838.36,0
2/22/2023,1.706,1.706,1.513,1.614,14114254.01,1.67711E+12,22400766.55,75560,6865147.37,10892482.8,0
2/23/2023,1.615,1.709,1.536,1.575,11842772.5,1.6772E+12,19222814.03,65072,5581572.08,9075334.166,0
2/24/2023,1.576,1.68,1.386,1.455,17770701.14,1.67728E+12,27485288.56,83073,9221136.72,14302293.98,0
2/25/2023,1.455,1.471,1.31,1.407,7953427.53,1.67737E+12,11096396.46,44014,3645718.06,5084515.986,0
2/26/2023,1.406,1.573,1.38,1.536,8753658.36,1.67746E+12,13024648.76,54211,4054813.58,6016243.671,0
2/27/2023,1.536,1.568,1.44,1.475,10003404.65,1.67754E+12,14994778.37,48137,4826606.08,7235062.019,0
2/28/2023,1.475,1.636,1.441,1.457,15698233.07,1.67763E+12,24063787.89,77920,7656629.07,11774876.62,0
3/1/2023,1.458,1.574,1.433,1.557,10861863.25,1.67772E+12,16339374.45,51922,5714939.49,8600116.463,0
3/2/2023,1.556,1.582,1.416,1.526,8926743.14,1.6778E+12,13376580.36,43724,4635500.25,6969021.352,0
3/3/2023,1.525,1.537,1.315,1.356,14080424.09,1.67789E+12,19380013.73,73072,6904813.19,9500384.503,0
3/4/2023,1.355,1.374,1.173,1.242,17233140.96,1.67797E+12,21452433.69,64918,7797772.81,9678983.368,0
3/5/2023,1.24,1.288,1.171,1.199,7828597.86,1.67806E+12,9637094.108,31484,3910969.49,4820411.855,0
3/6/2023,1.199,1.245,1.162,1.215,7747449.35,1.67815E+12,9295342.028,33233,3610582.88,4339702.526,0
3/7/2023,1.215,1.287,1.142,1.18,10823496.55,1.67823E+12,13149741.19,47728,4969867.79,6063550.976,0
3/8/2023,1.18,1.193,1.044,1.071,11047369.05,1.67832E+12,12291523.08,44469,5205555.24,5793966.811,0
3/9/2023,1.071,1.174,0.991,1.042,14987713.78,1.67841E+12,16309228.15,60067,7330473.55,7999877.485,0
3/10/2023,1.04,1.078,0.892,1.061,18022725.3,1.67849E+12,17855280.25,66152,8647448.51,8581873.584,0
3/11/2023,1.06,1.095,0.912,0.978,12331906.81,1.67858E+12,12179051.3,46341,5515239.14,5434453.884,0
3/12/2023,0.977,1.3,0.953,1.238,16469527.76,1.67867E+12,17851389.99,70781,8594212.07,9362023.044,0
